grid_id,date,hour,car_number,temp,humidity,wind_speed,weather,dayofweek
1,20170102,8,18.0,11,94,7.2,4,1
1,20170102,9,20.0,13,88,10.8,4,1
1,20170102,10,13.0,13,88,18.0,2,1
1,20170102,11,14.0,15,77,10.8,2,1
1,20170102,12,14.0,15,72,10.8,4,1
1,20170102,13,11.0,15,72,10.8,4,1
1,20170102,14,10.0,14,82,14.4,4,1
1,20170102,15,10.0,14,77,14.4,4,1
1,20170102,16,5.0,14,77,14.4,4,1
1,20170102,17,9.0,13,77,10.8,4,1
1,20170102,18,7.0,13,77,10.8,4,1
1,20170102,19,7.0,12,77,18.0,1,1
1,20170102,20,4.0,10,87,14.4,1,1
1,20170102,23,3.0,9,87,10.8,1,1
1,20170103,8,4.0,8,93,3.6,1,2
1,20170103,10,5.0,11,82,3.6,1,2
1,20170103,11,7.0,11,88,10.8,1,2
1,20170103,12,8.0,12,82,10.8,1,2
1,20170103,13,7.0,12,77,10.8,4,2
1,20170103,14,5.0,13,72,10.8,4,2
1,20170103,15,7.0,14,67,10.8,4,2
1,20170103,16,9.0,14,63,10.8,4,2
1,20170103,17,3.0,13,72,14.4,4,2
1,20170103,18,4.0,12,77,14.4,4,2
1,20170103,19,4.0,11,76,10.8,1,2
1,20170103,20,6.0,11,76,10.8,1,2
1,20170103,22,2.0,11,76,7.2,1,2
1,20170104,8,3.0,12,88,10.8,1,3
1,20170104,9,5.0,13,82,10.8,1,3
1,20170104,10,13.0,15,77,10.8,1,3
1,20170104,11,6.0,15,77,10.8,1,3
1,20170104,12,5.0,16,72,10.8,1,3
1,20170104,13,7.0,16,72,10.8,1,3
1,20170104,14,4.0,16,72,18.0,1,3
1,20170104,15,10.0,15,72,18.0,1,3
1,20170104,16,8.0,15,72,18.0,1,3
1,20170104,17,6.0,14,77,18.0,1,3
1,20170104,18,4.0,14,77,14.4,1,3
1,20170104,19,2.0,14,72,14.4,2,3
1,20170104,20,2.0,13,77,14.4,1,3
1,20170104,21,3.0,13,77,18.0,2,3
1,20170104,23,2.0,12,88,18.0,2,3
1,20170105,8,5.0,10,94,21.6,2,4
1,20170105,9,22.0,11,94,21.6,2,4
1,20170105,10,3.0,11,94,21.6,2,4
1,20170105,11,10.0,10,94,21.6,2,4
1,20170105,12,7.0,11,88,14.4,2,4
1,20170105,13,10.0,11,88,18.0,2,4
1,20170105,14,8.0,11,94,18.0,2,4
1,20170105,15,8.0,11,94,14.4,2,4
1,20170105,16,5.0,11,94,14.4,2,4
1,20170105,17,4.0,10,100,21.6,2,4
1,20170105,18,5.0,11,94,18.0,2,4
1,20170105,19,4.0,10,94,18.0,2,4
1,20170105,20,3.0,10,94,18.0,2,4
1,20170105,21,1.0,10,94,18.0,2,4
1,20170105,22,2.0,10,94,14.4,2,4
1,20170105,23,2.0,10,94,14.4,2,4
1,20170106,8,8.0,11,100,10.8,2,5
1,20170106,9,7.0,12,94,14.4,2,5
1,20170106,10,8.0,12,100,7.2,1,5
1,20170106,11,13.0,13,94,10.8,1,5
1,20170106,12,10.0,14,88,10.8,1,5
1,20170106,13,9.0,14,88,10.8,1,5
1,20170106,14,4.0,14,88,7.2,1,5
1,20170106,15,9.0,14,88,10.8,1,5
1,20170106,16,6.0,14,88,18.0,2,5
1,20170106,17,8.0,13,94,14.4,2,5
1,20170106,18,3.0,13,94,14.4,2,5
1,20170106,19,2.0,13,94,14.4,2,5
1,20170106,21,1.0,13,88,18.0,2,5
1,20170106,23,1.0,12,94,21.6,2,5
1,20170107,8,6.0,13,94,21.6,1,6
1,20170107,9,8.0,13,94,18.0,2,6
1,20170107,10,6.0,13,100,18.0,1,6
1,20170107,11,10.0,13,100,14.4,1,6
1,20170107,12,8.0,14,94,10.8,2,6
1,20170107,13,6.0,14,94,7.2,2,6
1,20170107,14,11.0,14,94,7.2,3,6
1,20170107,15,9.0,14,94,3.6,2,6
1,20170107,16,7.0,14,94,14.4,3,6
1,20170107,17,3.0,12,94,18.0,2,6
1,20170107,18,6.0,11,100,21.6,2,6
1,20170107,19,2.0,11,94,21.6,2,6
1,20170107,20,3.0,10,94,21.6,2,6
1,20170107,21,1.0,10,94,21.6,1,6
1,20170108,8,8.0,8,87,21.6,1,7
1,20170108,9,14.0,8,87,18.0,1,7
1,20170108,10,6.0,8,87,25.2,1,7
1,20170108,11,10.0,8,87,18.0,1,7
1,20170108,12,10.0,8,87,21.6,1,7
1,20170108,13,4.0,8,87,21.6,1,7
1,20170108,14,7.0,8,87,25.2,1,7
1,20170108,15,7.0,8,87,21.6,1,7
1,20170108,16,3.0,8,87,25.2,1,7
1,20170108,17,3.0,8,87,21.6,1,7
1,20170108,18,9.0,8,87,25.2,1,7
1,20170108,19,5.0,8,81,25.2,2,7
1,20170108,20,3.0,7,87,25.2,2,7
1,20170108,23,1.0,7,93,21.6,2,7
1,20170109,8,5.0,5,70,18.0,1,1
1,20170109,9,13.0,6,66,14.4,1,1
1,20170109,10,4.0,7,61,14.4,1,1
1,20170109,11,6.0,7,61,14.4,1,1
1,20170109,12,10.0,8,57,18.0,1,1
1,20170109,13,14.0,9,54,18.0,1,1
1,20170109,14,8.0,8,57,18.0,1,1
1,20170109,15,6.0,7,61,18.0,1,1
1,20170109,16,7.0,7,61,18.0,1,1
1,20170109,17,3.0,7,57,18.0,1,1
1,20170109,18,5.0,7,61,14.4,1,1
1,20170109,19,4.0,6,66,14.4,1,1
1,20170109,20,6.0,6,61,10.8,1,1
1,20170109,21,3.0,6,61,3.6,1,1
1,20170109,23,1.0,5,65,7.2,1,1
1,20170110,8,10.0,6,70,10.8,1,2
1,20170110,9,12.0,7,66,10.8,1,2
1,20170110,10,7.0,8,62,18.0,1,2
1,20170110,11,5.0,8,66,14.4,1,2
1,20170110,12,5.0,9,62,14.4,1,2
1,20170110,13,7.0,8,66,18.0,1,2
1,20170110,14,8.0,8,66,14.4,1,2
1,20170110,15,12.0,8,66,14.4,1,2
1,20170110,16,8.0,8,66,18.0,1,2
1,20170110,17,7.0,7,66,18.0,1,2
1,20170110,18,1.0,7,61,18.0,1,2
1,20170110,19,7.0,7,66,18.0,1,2
1,20170110,20,2.0,7,66,18.0,1,2
1,20170110,21,1.0,7,71,10.8,1,2
1,20170110,22,1.0,7,71,14.4,1,2
1,20170111,8,7.0,6,70,18.0,1,3
1,20170111,9,10.0,7,66,10.8,1,3
1,20170111,10,7.0,8,62,18.0,1,3
1,20170111,11,5.0,8,62,14.4,1,3
1,20170111,12,11.0,8,62,14.4,1,3
1,20170111,13,6.0,8,66,10.8,1,3
1,20170111,14,8.0,8,62,14.4,1,3
1,20170111,15,4.0,8,57,10.8,1,3
1,20170111,16,9.0,8,57,14.4,1,3
1,20170111,17,6.0,8,57,10.8,1,3
1,20170111,18,7.0,8,57,10.8,1,3
1,20170111,19,3.0,7,61,7.2,1,3
1,20170111,20,2.0,7,61,7.2,1,3
1,20170111,21,2.0,7,61,10.8,1,3
1,20170112,8,7.0,4,93,10.8,1,4
1,20170112,9,10.0,5,87,10.8,2,4
1,20170112,10,7.0,5,87,10.8,1,4
1,20170112,11,11.0,6,87,10.8,1,4
1,20170112,12,10.0,6,87,10.8,1,4
1,20170112,13,5.0,7,81,14.4,1,4
1,20170112,14,7.0,7,76,14.4,1,4
1,20170112,15,6.0,7,81,14.4,1,4
1,20170112,16,3.0,7,81,14.4,1,4
1,20170112,17,5.0,7,81,14.4,1,4
1,20170112,19,6.0,6,87,14.4,1,4
1,20170112,20,1.0,6,87,14.4,1,4
1,20170112,22,1.0,6,87,7.2,1,4
1,20170113,8,13.0,4,93,7.2,4,5
1,20170113,9,10.0,6,87,14.4,4,5
1,20170113,10,14.0,7,76,18.0,4,5
1,20170113,11,6.0,9,62,21.6,5,5
1,20170113,12,7.0,10,54,18.0,5,5
1,20170113,13,10.0,11,41,18.0,5,5
1,20170113,14,10.0,11,41,21.6,1,5
1,20170113,15,5.0,10,43,18.0,1,5
1,20170113,16,5.0,10,37,18.0,1,5
1,20170113,17,8.0,9,40,14.4,1,5
1,20170113,18,3.0,8,43,14.4,1,5
1,20170113,19,3.0,6,53,10.8,1,5
1,20170113,20,4.0,7,49,18.0,1,5
1,20170113,22,1.0,6,66,14.4,1,5
1,20170114,8,11.0,4,65,10.8,1,6
1,20170114,9,14.0,6,61,18.0,1,6
1,20170114,10,11.0,6,57,25.2,1,6
1,20170114,11,13.0,7,49,21.6,1,6
1,20170114,12,8.0,8,50,18.0,1,6
1,20170114,13,7.0,8,46,18.0,1,6
1,20170114,14,11.0,8,43,21.6,1,6
1,20170114,15,6.0,7,43,21.6,1,6
1,20170114,16,3.0,7,46,21.6,1,6
1,20170114,17,6.0,5,53,18.0,1,6
1,20170114,18,3.0,5,53,18.0,1,6
1,20170114,19,4.0,5,53,18.0,1,6
1,20170114,20,3.0,5,53,14.4,1,6
1,20170114,21,2.0,4,56,10.8,1,6
1,20170115,8,18.0,4,65,14.4,1,7
1,20170115,9,12.0,6,53,25.2,1,7
1,20170115,10,10.0,7,49,21.6,1,7
1,20170115,11,4.0,8,46,18.0,1,7
1,20170115,12,8.0,7,53,18.0,1,7
1,20170115,13,9.0,7,49,18.0,1,7
