date,hour,temp,humidity,wind_speed,weather,dayofweek
20170102,8,11,94,7.2,4,1
20170102,9,13,88,10.8,4,1
20170102,10,13,88,18.0,2,1
20170102,11,15,77,10.8,2,1
20170102,12,15,72,10.8,4,1
20170102,13,15,72,10.8,4,1
20170102,14,14,82,14.4,4,1
20170102,15,14,77,14.4,4,1
20170102,16,14,77,14.4,4,1
20170102,17,13,77,10.8,4,1
20170102,18,13,77,10.8,4,1
20170102,19,12,77,18.0,1,1
20170102,20,10,87,14.4,1,1
20170102,21,9,93,14.4,1,1
20170102,22,9,87,10.8,1,1
20170102,23,9,87,10.8,1,1
20170103,8,8,93,3.6,1,2
20170103,9,10,87,7.2,4,2
20170103,10,11,82,3.6,1,2
20170103,11,11,88,10.8,1,2
20170103,12,12,82,10.8,1,2
20170103,13,12,77,10.8,4,2
20170103,14,13,72,10.8,4,2
20170103,15,14,67,10.8,4,2
20170103,16,14,63,10.8,4,2
20170103,17,13,72,14.4,4,2
20170103,18,12,77,14.4,4,2
20170103,19,11,76,10.8,1,2
20170103,20,11,76,10.8,1,2
20170103,21,11,82,10.8,1,2
20170103,22,11,76,7.2,1,2
20170103,23,11,82,7.2,1,2
20170104,8,12,88,10.8,1,3
20170104,9,13,82,10.8,1,3
20170104,10,15,77,10.8,1,3
20170104,11,15,77,10.8,1,3
20170104,12,16,72,10.8,1,3
20170104,13,16,72,10.8,1,3
20170104,14,16,72,18.0,1,3
20170104,15,15,72,18.0,1,3
20170104,16,15,72,18.0,1,3
20170104,17,14,77,18.0,1,3
20170104,18,14,77,14.4,1,3
20170104,19,14,72,14.4,2,3
20170104,20,13,77,14.4,1,3
20170104,21,13,77,18.0,2,3
20170104,22,13,77,14.4,2,3
20170104,23,12,88,18.0,2,3
20170105,8,10,94,21.6,2,4
20170105,9,11,94,21.6,2,4
20170105,10,11,94,21.6,2,4
20170105,11,10,94,21.6,2,4
20170105,12,11,88,14.4,2,4
20170105,13,11,88,18.0,2,4
20170105,14,11,94,18.0,2,4
20170105,15,11,94,14.4,2,4
20170105,16,11,94,14.4,2,4
20170105,17,10,100,21.6,2,4
20170105,18,11,94,18.0,2,4
20170105,19,10,94,18.0,2,4
20170105,20,10,94,18.0,2,4
20170105,21,10,94,18.0,2,4
20170105,22,10,94,14.4,2,4
20170105,23,10,94,14.4,2,4
20170106,8,11,100,10.8,2,5
20170106,9,12,94,14.4,2,5
20170106,10,12,100,7.2,1,5
20170106,11,13,94,10.8,1,5
20170106,12,14,88,10.8,1,5
20170106,13,14,88,10.8,1,5
20170106,14,14,88,7.2,1,5
20170106,15,14,88,10.8,1,5
